paper_id,claim_sentence
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,"Here, we provide a detailed ablation study to determine which component is the key to performance improvement, and show results in Figure 3."
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,"Compared with the baselines, our method usually substantially improves reconstruction performance on real coupled networks, as shown in Table 3."
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,3.3 Application of Coupling Attention The overall framework of our model is presented in Figure 1b.
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,4.4 Performance on real networks We test our method on six empirical neurological connectivity datasets using activity sequences data generated by four neuronal dynamic models.
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,"In conclusion, our method slightly Table 3: Performance comparison (model neurons coupled on real connectomes)."
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,"5 Limitations Our methodology has limitations (i.e., cases for which performance improvement is less): 1."
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,This innovation substantially improves reconstruction performance for both synthetic and real directed coupling networks using data generated by neuronal models widely used in neuroscience.
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,(b) Method (a) Reconstruct coupled network activity sequence Figure 1: (a) Graphical representation of our task.
00bb4e415ef117f2dee2fc3b778d806d-Paper-Conference,"The ATEn (green lines) shows a substantial performance improvement compared with baselines, which indicates that the classifier with the guidance of coupling attention can extract features hidden in activity sequences that are closely related to coupling effect and result in superior generalization."
001608167bb652337af5df0129aeaabd-Paper-Conference,"On average, our method surpasses the concurrent AT baseline and achieves significantly better performance than other baselines (Table A.6)."
001608167bb652337af5df0129aeaabd-Paper-Conference,"However, in the absence of human demonstrations and only with access to machine-generated data (e.g., generated by RL agents), our learning-progress-based curriculum is recommended because it achieves non-trivial performance and signifi- cantly outperforms offline RL methods such as CQL [41]."
001608167bb652337af5df0129aeaabd-Paper-Conference,"On average, our method with task-difficulty-based curriculum performs the best during evaluation (Table A.5), confirming the benefit over the 7 Table 2: Evaluation results on RoboMimic."
001608167bb652337af5df0129aeaabd-Paper-Conference,Table A.8: Results show the performance of different curricula on two robotic manipulation tasks: Lift and Can.
001608167bb652337af5df0129aeaabd-Paper-Conference,"To this end, this paper introduces a novel algorithm named Cross-Episodic Curriculum (CEC), a method that explicitly harnesses the shifting distributions of multiple experiences when organized into a curriculum."
001608167bb652337af5df0129aeaabd-Paper-Conference,"It also significantly outperforms popular offline RL methods such as Decision Transformer (DT, Chen et al."
001608167bb652337af5df0129aeaabd-Paper-Conference,"2 2 Cross-Episodic Curriculum: Formalism and Implementations In this section, we establish the foundation for our cross-episodic curriculum method by first reviewing the preliminaries underlying our case studies, which encompass two representative scenarios in sequential decision-making."
001608167bb652337af5df0129aeaabd-Paper-Conference,"With a powerful model architecture such as Transformer [75, 16], such emergent and valuable learning signals can be baked into policy weights, thereby boosting performance in embodied tasks."
001608167bb652337af5df0129aeaabd-Paper-Conference,"For our methods, DT, AT, and the BC w/ expert data baselines, we conduct 20 independent evaluation runs, each consisting of 100 episodes for Goal Maze and Watermaze and 50 episodes for Irreversible Path due to longer episode length."
001608167bb652337af5df0129aeaabd-Paper-Conference,4.1 Main Evaluations We answer the first two questions above by comparing learned agents from our method against 1) Reinforcement Learning (RL) oracles in online RL settings and 2) well-established baselines on learning from mixed-quality demonstrations in the Imitation Learning (IL) setting.
007f4927e60699392425f267d43f0940-Paper-Conference,"We implement the proposed RNAC in multiple MuJoCo environments (Hopper-v3, Walker2d- v3, and HalfCheetah-v3), and demonstrate that RNAC with the proposed uncertainty sets results in robust behavior while canonical policy-based approaches suffer significant performance degrada- tion."
007f4927e60699392425f267d43f0940-Paper-Conference,7 Experimental Results We demonstrate the robustness of our RNAC approach (Algorithm 1) with Double-Sampling (DS) and IPM uncertainty sets on MuJoCo simulation environments [56].
007f4927e60699392425f267d43f0940-Paper-Conference,"G More Related Works The framework of the robust Markov decision process (RMDP) is proposed by [19, 40] to learn the optimal robust policy that achieves the optimal worst-case performance over all possible models in the uncertainty set."
007f4927e60699392425f267d43f0940-Paper-Conference,[43] develop a robust fitted Q-iteration with the total variation uncertainty set and show an O(1/ϵ2) sample complexity to achieve approximate optimality and [6] develop a model-based method with the same sample complexity under certain coverage assump- tion.
007f4927e60699392425f267d43f0940-Paper-Conference,"Finally, we demonstrate the robust performance of the policy learned by our proposed RNAC approach in multiple MuJoCo envi- ronments and a real-world TurtleBot navigation task."
007f4927e60699392425f267d43f0940-Paper-Conference,"This mis- match, called simulation-to-reality-gap, can significantly degrade the performance of standard RL algorithms when deployed on real-world systems [36, 44, 55, 51]."
007f4927e60699392425f267d43f0940-Paper-Conference,"Also, many works have developed model-based robust RL algorithms in the tabular setting [66, 69, 42, ∗The first two authors contributed equally."
007f4927e60699392425f267d43f0940-Paper-Conference,"Many robust Q-learning algorithms [45, 33, 39, 59, 30] and policy gradient methods for robust RL [61, 27, 29, 58, 17] have been developed for the tabular setting ."
007f4927e60699392425f267d43f0940-Paper-Conference,"We propose a novel RNAC algorithm (Section 4) which to the best of our knowledge is the first policy-based approach for robust RL under function approximation, with provable convergence guarantees."
007f4927e60699392425f267d43f0940-Paper-Conference,4 Robust Natural Actor-Critic We propose a robust natural actor-critic (RNAC) approach in Algorithm 1 for the robust RL problem.
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"In order to measure perturbation-speciﬁc model-properties, we also introduce a framework for evaluation of perturbation models based on average treatment effects with links to posterior predictive checks."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,We furthermore examine the interpretability of the model’s disentangled structures and demonstrate signiﬁcantly improved ability to recover factors predictive of known molecular pathways as compared to recently proposed models.
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"Finally, we show that our best models also excel in the treatment effect estimation evaluation we propose."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"2.2 Likelihood choice for scRNA-Seq Data In the previous section, we used a generic form p(xi|zi; ✓) for the observation model over x to show the generality of the approach."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"Models of Cellular Perturbation A popular generative modeling framework for cellular sequenc- ing data utilizing VAEs has been proposed in [11], a model which inspired our use of their likelihood."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"We also introduce CPA-VAE, which ablates the sparsity mechanism we propose, yielding a generative model with similar assumptions as the popular perturbation model CPA."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"To perform approximate inference, we propose rich variational families for these models and showcase how sophisticated inference facilitates identifying predictive factors of variation."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"We additionally introduce a lens on evaluation of perturbation models for biology based on model-based average treatment effects and differential expression, which we link to posterior predictive checks."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"We aim to develop generative models of p(x|d), representing the distribution of features of a target system conditional on perturbations."
0001ca33ba34ce0351e4612b744b3936-Paper-Conference,"In the following sections, we will introduce the details of our proposed modeling strategy, the Sparse Additive Mechanism Shift Variational Autoencoder (SAMS-VAE)."
00db17c36b5435195760520efa96d99c-Paper-Conference,We then demonstrate that provable robustness can be achieved by (1) choosing a model that matches the task’s equivariances (2) certifying traditional adversarial robustness.
00db17c36b5435195760520efa96d99c-Paper-Conference,"6 Experimental evaluation In the following, we demonstrate how sound robustness guarantees for tasks with discrete and contin- uous domains and equivariances can be obtained via equivariance-preserving randomized smoothing."
00db17c36b5435195760520efa96d99c-Paper-Conference,"We experimentally demonstrated the generality of this equivariance-preserving randomized smoothing approach by certifying robustness for graph, point cloud and molecule models."
00db17c36b5435195760520efa96d99c-Paper-Conference,We propose to use the modified interval bound propagation method introduced in Appendix F.2 to obtain these bounds.
00db17c36b5435195760520efa96d99c-Paper-Conference,"Directly enforcing such equivariances in models is an effective inductive bias, as demonstrated by the success of convolutional layers [2], transformers [3] and graph neural networks [4]."
00db17c36b5435195760520efa96d99c-Paper-Conference,It specifies sufficient conditions under which models retains their equiv- ariances when undergoing randomized smoothing – a state-of-the-art approach for simultaneously increasing and proving the robustness of arbitrary models [18–20].
00db17c36b5435195760520efa96d99c-Paper-Conference,Schuchardt and Günnemann [26] used knowledge about the invariances of point cloud classifiers to prove that they are constant within larger regions than could be shown using previous approaches.
00db17c36b5435195760520efa96d99c-Paper-Conference,"Nevertheless, many methods can actually be reused for proving (non-)robustness under our proposed notion of adversarial robustness (see Section 5)."
00db17c36b5435195760520efa96d99c-Paper-Conference,"A problem is that the ground truth is usually unknown, which limits experimental evaluation to simple data generating distributions [52, 70] or using human study participants [22, 67, 71]."
00db17c36b5435195760520efa96d99c-Paper-Conference,"While originally proposed for provably robust image classification, 3 it has evolved into a much more general framework that can be applied to various domains and tasks [14, 20, 51, 75–81]."
my_paper,"The Slicing Aided Hyper Infer- ence (SAHI) framework, proposed in [24], enhances detection performance, especially for small objects, by systematically slicing and resizing the original image before applying detec- tion models."
my_paper,3) ENSEMBLE METHODS Ensemble methods combine the predictions of multiple mod- els to improve overall performance and generalization.
my_paper,"INTRODUCTION Machine learning has been evolving since the mid-20th cen- tury, starting with early developments in algorithms like perceptrons and decision trees."
my_paper,"This algorithm enables the analytical calculation of parameter updates, as opposed to nu- merical methods, facilitating the training of DL models with a large number of parameters."
my_paper,Publicly available tools can compare the performance of various algorithms on a given dataset [10].
my_paper,"This curve is useful for assessing the efﬁciency of different learning methods and for predicting performance improve- ments from additional data, helping to determine whether further data collection is necessary."
my_paper,"2) LEARNING TECHNIQUES Early stopping is a regularization technique used in training ML models, where the training process is halted before com- pletion if the model’s performance on a validation set begins to degrade, indicating potential overﬁtting."
my_paper,Lasso regression is used as a feature selection method because L1 regularization tends to enforce some coefﬁcients in a linear model to vanish.
my_paper,"For image data, the ResNet model won the ImageNet clas- siﬁcation competition in 2015 [22] with a top-5 error rate of 3.57%, surpassing human-level performance estimated at around 5%."
my_paper,"YOLO (You Only Look Once) models, as developed in [23], are widely used for various detection applications."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,Experimental results demonstrate that including alignment loss (via P-Former) in the BLIP-2’s framework significantly narrows the performance gap between models trained with 4M and 129M image-text pairs.
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"In our experiments, we take BLIP-2 as an example and show that our proposed framework improves this latest VL method by great margins in various benchmarks of VQA and image captioning."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"The results, as detailed in Table 1, suggest that our proposed framework significantly enhances the zero-shot VQA performance of BLIP-2 trained with 4M image-text pairs."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"Our experiments reveal that our framework signifi- cantly enhances the performance of a robust image-to-text baseline (BLIP-2), and effectively narrows the performance gap between models trained with either 4M or 129M image-text pairs."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"3 Vision-language learning with frozen language models Large language models, pre-trained on large text corpora, show exceptional performance in language generation tasks."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"Our proposed framework with P-Former can be applied to models under this paradigm that use soft prompts as the visual-language interface (e.g., Frozen, BLIP-2, X-LLM, etc)."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,VLMo [4] demonstrated the benefits of conducting stage-wise pre-training with image-only and text-only data for their proposed model architecture.
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"Shown in Table 2, our framework improves BLIP-2 in all metrics, with greater improvements in CIDEr compared to SPICE."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"Nevertheless, given the simplicity of sequential modules of prompt-based models (as demonstrated by recent works such as Frozen, BLIP-2, X-LLM, etc.), we anticipate that our framework will be broadly applicable to most future work in the academic setting."
002262941c9edfd472a79298b2ac5e17-Paper-Conference,"6 Conclusion and discussion This paper introduces a novel optimization framework for enhancing vision-language models based on large, frozen LLMs."
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,"For the same setting as we consider, [29, 30] propose a selective sampling approach based on the maximum (unweighted) prediction disagreement among the experts, and numerically demonstrate its merits."
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,"In the classical framework of sequence prediction with expert advice, a forecasting algorithm aims to sequentially predict a stream of labels on the basis of predictions issued by a number of experts (see, for instance, [1, 2, 3] and references therein)."
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,"Our work is partly motivated by such active learning frameworks, with the aim of devising a simple and adaptive methodology that does not rely on intricate modeling assumptions."
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,"This shows that the label-efficient forecaster achieves the “best of both worlds”: it smoothly interpolates between the worst case, where no method can have optimal regret with less than O(n) queries, and the benign, stochastic case, where it is sufficient to make O(√n) queries."
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,2.1 Exponentially weighted forecasters All proposed algorithms in this paper are variations of exponentially weighted forecasters [2].
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,A natural question to ask is if there exists an algorithm that achieves the expected cumulative loss bound (4) while not necessarily collecting all labels.
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,Theorem 2 shows that the proposed label-efficient forecaster satisfies the same expected regret bound as the exponentially weighted forecaster with qt := 1.
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,"9 7 Discussion and outlook In this paper, we presented a set of adaptive label-efficient algorithms."
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,"For instance, the results we present can be straightforwardly extended to a setting where the expert outputs take values in [0, 1], as long as the label sequence and forecaster prediction remain binary and take values in {0, 1}."
00b67df24009747e8bbed4c2c6f9c825-Paper-Conference,The results of these simulations are presented in Figure 2 and 3.
my_paper1,"Overall, the studies presented in this review showed that the integration of artificial intelligence (AI) in the field of education has achieved notable advancements, particularly in economically advanced nations, as shown by relevant aca- demic research [19], [55]."
my_paper1,"Sig- nificantly, some developed countries such as US has assumed a prominent position in scholarly papers pertaining to the Internet of Things (IoT) in the field of education, as shown by the study [8]."
my_paper1,"Previous study present that ‘the advent of innovative computing tools has facilitated the development of more enriched learning experiences, promoted a spirit of discovery, and fostered cooperation among learners [15]."
my_paper1,"Moreover, the incorpora- tion of artificial intelligence (AI) technology into existing information systems presents significant opportunities for increasing educational results via improvement and innova- tion."
my_paper1,"For instance, technologies-enhanced learning (TEL) has arisen as a notable breakthrough, which has disrupted traditional teaching and learning methods by using informa- tion and communication technologies to improve educational results."
my_paper1,"The study employs bibliometric analysis and topic modeling approaches, as described by [29] to offer insights into the changing dynamics of artificial intelligence in the field of education."
my_paper1,"The results reveal a significant rise in AI-related technological research beginning in 2018, with citations reaching their zenith in 2019."
my_paper1,"Fur- thermore, it is expected that specialized artificial intelligence in education (AIED) technologies, which are specifically developed to improve learning and teaching, will have a significant impact on the future of education."
my_paper1,"Against this backdrop, this study employs bibliometric analysis to present an in-depth assessment of the research trends and important areas of interest within the field of AI during the previous decade [5]."
my_paper1,The importance of the mobile computing and distributed technologies on the development of intelligent educational applications was thoroughly explored at the 10th Interna- tional Conference on Artificial Intelligence in Education.
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"Unlike previous methods [61, 4] that require training on top of these models, PaintSeg introduces a novel, training-free segmentation approach that relies on an adversarial masked contrastive painting (AMCP) process."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"As shown in Table 1, PaintSeg achieves encouraging performance that is even comparable with training-based methods."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"We notice that our method can significantly outperform it in terms of IoU, with improvements of 8.2, 6.8, and 16.1 on GrabCut, Berkeley, and DAVIS correspondingly."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"Our ex- perimental results demonstrate that PaintSeg outperforms existing approaches in coarse mask-prompt, box-prompt, and point-prompt segmentation tasks, pro- viding a training-free solution suitable for unsupervised segmentation."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"A particular generative model, the denoising diffusion probabilistic model (DDPM), has demonstrated outstanding performance in a variety of generative tasks, such as image inpainting [49, 16, 34] and text-to-image synthesis [21, 20, 79]."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"Subsequently, [57, 55] introduce a second-stage training approach to further improve the segmentation quality."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"Under the training- free setting, PaintSeg significantly outperforms previous methods by a margin of 4.6 IoU on DUTS-TE and 3.4 IoU on ECSSD."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"As shown in Table 2, we compare our method with state-of-the-art point prompt segmentation approaches."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,"As shown in Table 6a, we notice a cluster center of 2 achieves the best performance for mask prompt."
0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference,The results demonstrate that DINO with a small patch size achieves better performance.
